Player（球员）,Pos（位置）,Age（年龄）,Tm（队名）,G（比赛数）
Quincy Acy,PF,22,TOR,29
Jeff Adrien,PF,26,CHA,52
Arron Afflalo,SF,27,ORL,64
Josh Akognon,PG,26,DAL,3
Cole Aldrich,C,24,TOT,45
Cole Aldrich,C,24,HOU,30
Cole Aldrich,C,24,SAC,15
LaMarcus Aldridge,PF,27,POR,74
Lavoy Allen,C,23,PHI,79
Ray Allen,SG,37,MIA,79
Tony Allen,SG,31,MEM,79
Al-Farouq Aminu,SF,22,NOH,76
Lou Amundson,PF,30,TOT,39
Lou Amundson,PF,30,MIN,20
Lou Amundson,PF,30,CHI,1
Lou Amundson,PF,30,NOH,18
Chris Andersen,C,34,MIA,42
Alan Anderson,SF,30,TOR,65
James Anderson,SG-SF,23,TOT,39
James Anderson,SF,23,SAS,10
James Anderson,SG,23,HOU,29
Ryan Anderson,PF,24,NOH,81
Carmelo Anthony,PF,28,NYK,67
Joel Anthony,C,30,MIA,62
Trevor Ariza,SF,27,WAS,56
Darrell Arthur,PF,24,MEM,59
Omer Asik,C,26,HOU,82
D.J. Augustin,PG,25,IND,76
Gustavo Ayon,C,27,TOT,55
Gustavo Ayon,C,27,ORL,43
Gustavo Ayon,C,27,MIL,12
Jeff Ayres,PF,25,IND,37
Luke Babbitt,PF,23,POR,62
Leandro Barbosa,PG,30,BOS,41
J.J. Barea,PG,28,MIN,74
Andrea Bargnani,PF,27,TOR,35
Harrison Barnes,SF,20,GSW,81
Matt Barnes,SF,32,LAC,80
Earl Barron,C,31,TOT,12
Earl Barron,C,31,WAS,11
Earl Barron,C,31,NYK,1
