Rk（序号）,Player（球员）,Pos（位置）,Age（年龄）,Tm（队名）
1,Quincy Acy,PF,22,TOR
2,Jeff Adrien,PF,26,CHA
3,Arron Afflalo,SF,27,ORL
4,Josh Akognon,PG,26,DAL
5,Cole Aldrich,C,24,TOT
5,Cole Aldrich,C,24,HOU
5,Cole Aldrich,C,24,SAC
6,LaMarcus Aldridge,PF,27,POR
7,Lavoy Allen,C,23,PHI
8,Ray Allen,SG,37,MIA
9,Tony Allen,SG,31,MEM
10,Al-Farouq Aminu,SF,22,NOH
11,Lou Amundson,PF,30,TOT
11,Lou Amundson,PF,30,MIN
11,Lou Amundson,PF,30,CHI
11,Lou Amundson,PF,30,NOH
12,Chris Andersen,C,34,MIA
13,Alan Anderson,SF,30,TOR
14,James Anderson,SG-SF,23,TOT
14,James Anderson,SF,23,SAS
14,James Anderson,SG,23,HOU
15,Ryan Anderson,PF,24,NOH
16,Carmelo Anthony,PF,28,NYK
17,Joel Anthony,C,30,MIA
18,Trevor Ariza,SF,27,WAS
19,Darrell Arthur,PF,24,MEM
20,Omer Asik,C,26,HOU
